id_estabelecimento;Utilizador;nome_estabelecimento;desc_ambiente;rating_medio_estabelecimento;telefone;visual_estabelecimento;longitude;latitude;rua;localidade;cod_postal
39;fermentum.vel.mauris@enimcommodohendrerit.net;Libero Inc.;Lorem ipsum dolor sit amet,;3;962031502;3223;143.34093;-8.77948;839-1780 Velit Road;Chiny;69102-202
40;ipsum.non@purus.org;At Sem LLC;Lorem ipsum dolor sit amet,;3;998788736;1056;-72.63023;-7.64844;P.O. Box 891, 677 Eget Avenue;Heredia;26864
41;ullamcorper.eu@Nulla.org;Non Lorem Inc.;Lorem;2;978612713;4259;109.01033;78.29647;6161 Placerat St.;Olivar;73899
42;ut.nulla.Cras@sitamet.org;Tristique PC;Lorem ipsum dolor sit amet, consectetuer;3;965505615;3360;-41.40694;-5.29647;812-2612 Nunc Rd.;Fratta Todina;70003
43;cursus@metuseuerat.net;Mauris Institute;Lorem ipsum dolor;4;954504386;1196;-113.05297;63.836;2131 Sit Street;Campina Grande;84738
44;sapien.Nunc.pulvinar@Fuscemilorem.ca;Conubia Nostra Per Corporation;Lorem ipsum dolor sit amet, consectetuer adipiscing;3;990863116;2523;-13.97246;-27.40905;Ap #182-6837 Primis Road;Dhanbad;42735
45;quam.a.felis@Curabiturvellectus.com;Sem Eget Foundation;Lorem ipsum dolor sit amet, consectetuer adipiscing;4;959195723;3194;-70.14245;69.5136;Ap #795-641 In Street;Visso;25121
46;ridiculus.mus.Donec@Nunc.ca;Nec Ligula PC;Lorem ipsum dolor sit amet, consectetuer adipiscing;5;930079480;2316;-38.54424;15.28745;Ap #493-3073 Urna Rd.;Stuttgart;59096
47;elit.pretium@hendrerit.net;Purus Mauris Foundation;Lorem ipsum dolor sit;4;961496582;3334;133.02164;-62.40362;2511 Proin Road;Maiolati Spontini;3389
48;rhoncus.Donec.est@enimcommodohendrerit.net;Ac Facilisis Facilisis Foundation;Lorem ipsum dolor;2;974901858;268;-174.49702;30.85499;P.O. Box 298, 4763 Dolor St.;Cariboo Regional District;4021
49;hendrerit@ligulaAliquam.com;Nisi Sem Foundation;Lorem ipsum dolor;3;920420996;3218;-164.62207;46.05025;629-5265 Dolor. Ave;Brodick;60012
50;tellus.Nunc.lectus@molestiesodalesMauris.co.uk;Dolor Sit Corp.;Lorem ipsum dolor sit amet, consectetuer;4;997111681;1295;-144.89468;-47.64621;P.O. Box 827, 1788 Sem Road;Paglieta;74-447
51;natoque.penatibus@ultricesa.edu;Sagittis Augue Company;Lorem ipsum;3;922942159;1957;-79.12507;51.75526;Ap #717-9043 Nunc Road;Moulins;90289
52;posuere.enim.nisl@anunc.co.uk;Diam Vel Associates;Lorem ipsum;2;963237605;771;96.6046;23.26097;P.O. Box 372, 8752 Pede Street;Meldert;15389
